water flow;water level;prefix;risque level,_high;risque level,_low;risque level,_mediam;risque level,_very high;Materiel Ressource,_Vehicle;Materiel Ressource,_Zodiac;Human Ressource,_Crisis cell;Human Ressource,_DDE;Human Ressource,_Firefighters;Human Ressource,_Gendarme;Human Ressource,_Mayor;Human Ressource,_Prefet
750.0;0.7;1.0;False;True;False;False;False;False;True;False;False;False;False;False
550.0;0.5;5.0;False;True;False;False;False;False;True;False;False;False;False;False
4350.0;12.2;5.0;False;False;False;True;False;False;True;False;False;False;False;False
4750.0;12.3;6.0;False;False;False;True;False;False;False;False;False;False;False;True
4950.0;12.4;1.0;False;False;False;True;False;False;False;False;False;False;False;True
4950.0;12.5;2.0;False;False;False;True;False;False;False;False;False;False;True;False
5050.0;12.6;3.0;False;False;False;True;False;True;False;False;True;False;False;False
5050.0;12.7;4.0;False;False;False;True;False;False;False;False;True;False;False;False
3550.0;5.6;5.0;False;False;False;True;False;False;True;False;False;False;False;False
3650.0;5.4;6.0;True;False;False;False;False;False;False;False;False;False;False;True
3650.0;5.5;1.0;True;False;False;False;False;False;False;False;False;False;True;False
3750.0;5.2;2.0;True;False;False;False;False;False;False;False;False;False;False;True
3850.0;5.3;3.0;True;False;False;False;False;True;False;False;True;False;False;False
3750.0;5.4;4.0;True;False;False;False;False;False;False;False;True;False;False;False
3800.0;5.5;5.0;True;False;False;False;False;False;True;False;False;False;False;False
3700.0;5.6;6.0;False;False;False;True;False;False;False;False;False;False;False;True
3900.0;5.7;1.0;False;False;False;True;False;False;False;False;False;False;False;True
3900.0;5.3;2.0;True;False;False;False;False;False;False;False;False;False;True;False
4000.0;5.4;3.0;True;False;False;False;False;True;False;False;True;False;False;False
4000.0;5.5;4.0;True;False;False;False;False;False;False;False;True;False;False;False
3650.0;5.6;5.0;False;False;False;True;False;False;True;False;False;False;False;False
3750.0;5.7;6.0;False;False;False;True;False;False;False;False;False;False;False;True
3650.0;5.8;1.0;False;False;False;True;False;False;False;False;False;False;True;False
3950.0;5.9;1.0;False;False;False;True;False;False;False;False;False;False;False;True
3950.0;5.4;2.0;True;False;False;False;False;False;False;False;False;True;False;False
3950.0;5.5;3.0;True;False;False;False;False;False;False;False;False;True;False;False
3700.0;5.6;4.0;False;False;False;True;False;False;True;False;False;False;False;False
3900.0;5.7;5.0;False;False;False;True;False;False;False;False;False;False;False;True
4100.0;5.8;2.0;False;False;False;True;False;False;False;False;False;False;True;False
4100.0;5.9;3.0;False;False;False;True;False;False;False;False;False;False;False;True
4100.0;5.2;4.0;True;False;False;False;False;True;False;False;True;False;False;False
4200.0;5.3;5.0;True;False;False;False;False;False;False;False;True;False;False;False
5790.0;5.8;6.0;False;False;False;True;False;False;True;False;False;False;False;False
2580.0;3.05;5.0;True;False;False;False;False;False;True;False;False;False;False;False
2580.0;3.15;1.0;True;False;False;False;False;False;False;False;False;False;False;True
2580.0;3.25;2.0;True;False;False;False;False;False;False;False;False;False;True;False
2580.0;3.35;3.0;True;False;False;False;False;False;False;True;False;False;False;False
2580.0;3.45;4.0;True;False;False;False;False;False;False;True;False;False;False;False
5890.0;5.9;1.0;False;False;False;True;False;False;False;False;False;False;False;True
5990.0;6.0;1.0;False;False;False;True;False;False;False;False;False;False;False;True
6090.0;6.1;2.0;False;False;False;True;False;False;False;False;False;False;True;False
6290.0;5.2;3.0;True;False;False;False;False;True;False;False;True;False;False;False
6490.0;5.3;4.0;True;False;False;False;False;False;False;False;True;False;False;False
5700.0;7.0;5.0;False;False;False;True;False;False;True;False;False;False;False;False
2580.0;3.25;1.0;True;False;False;False;False;False;True;False;False;False;False;False
2580.0;3.45;2.0;True;False;False;False;False;False;False;False;False;False;True;False
2580.0;3.65;3.0;True;False;False;False;False;False;False;False;False;False;False;True
2580.0;3.85;4.0;True;False;False;False;False;False;False;True;False;False;False;False
2580.0;4.05;5.0;True;False;False;False;False;False;False;True;False;False;False;False
2680.0;4.25;1.0;True;False;False;False;False;False;True;False;False;False;False;False
2680.0;4.45;2.0;True;False;False;False;False;False;False;False;False;False;True;False
2680.0;4.65;3.0;True;False;False;False;False;False;False;False;False;False;False;True
2680.0;4.85;4.0;True;False;False;False;False;False;False;True;False;False;False;False
2680.0;5.05;5.0;True;False;False;False;False;False;False;True;False;False;False;False
2680.0;4.35;1.0;True;False;False;False;False;False;True;False;False;False;False;False
2680.0;4.55;2.0;True;False;False;False;False;False;False;False;False;False;True;False
2680.0;4.75;3.0;True;False;False;False;False;False;False;False;False;False;False;True
2680.0;4.95;4.0;True;False;False;False;False;False;False;True;False;False;False;False
2780.0;3.15;5.0;True;False;False;False;False;False;False;True;False;False;False;False
2780.0;3.15;1.0;True;False;False;False;False;False;True;False;False;False;False;False
2780.0;3.15;2.0;True;False;False;False;False;False;False;False;False;False;True;False
2780.0;3.15;3.0;True;False;False;False;False;False;False;False;False;False;False;True
2780.0;3.15;4.0;True;False;False;False;False;False;False;True;False;False;False;False
2780.0;3.15;5.0;True;False;False;False;False;False;False;True;False;False;False;False
2780.0;3.25;1.0;True;False;False;False;False;False;True;False;False;False;False;False
2780.0;3.25;2.0;True;False;False;False;False;False;False;False;False;False;True;False
2780.0;3.25;3.0;True;False;False;False;False;False;False;False;False;False;False;True
2880.0;3.25;4.0;True;False;False;False;False;False;False;True;False;False;False;False
2880.0;3.05;5.0;True;False;False;False;False;False;False;True;False;False;False;False
2880.0;3.65;1.0;True;False;False;False;False;False;True;False;False;False;False;False
2880.0;3.75;2.0;True;False;False;False;False;False;False;False;False;False;False;True
2880.0;3.85;3.0;True;False;False;False;False;False;False;False;False;False;True;False
2880.0;3.95;4.0;True;False;False;False;False;False;False;True;False;False;False;False
2980.0;4.05;5.0;True;False;False;False;False;False;False;True;False;False;False;False
2980.0;3.05;1.0;True;False;False;False;False;False;True;False;False;False;False;False
2980.0;3.15;2.0;True;False;False;False;False;False;False;False;False;False;True;False
2980.0;3.35;3.0;True;False;False;False;False;False;False;False;False;False;False;True
2980.0;3.55;4.0;True;False;False;False;False;False;False;True;False;False;False;False
2980.0;3.75;5.0;True;False;False;False;False;False;False;True;False;False;False;False
3080.0;3.0;2.0;True;False;False;False;False;False;True;False;False;False;False;False
3080.0;3.1;3.0;True;False;False;False;False;False;False;False;False;False;True;False
3080.0;3.2;4.0;True;False;False;False;False;False;False;False;False;False;False;True
3080.0;3.3;5.0;True;False;False;False;False;False;False;True;False;False;False;False
3080.0;3.4;6.0;True;False;False;False;False;False;False;True;False;False;False;False
3080.0;3.2;1.0;True;False;False;False;False;False;True;False;False;False;False;False
3180.0;3.3;1.0;True;False;False;False;False;False;False;False;False;False;True;False
3180.0;3.4;2.0;True;False;False;False;False;False;False;False;False;False;False;True
3180.0;3.5;3.0;True;False;False;False;False;False;False;True;False;False;False;False
3180.0;3.6;4.0;True;False;False;False;False;False;False;True;False;False;False;False
3180.0;3.7;5.0;True;False;False;False;False;False;True;False;False;False;False;False
3180.0;3.8;1.0;True;False;False;False;False;False;False;False;False;False;True;False
3280.0;4.0;2.0;True;False;False;False;False;False;False;False;False;False;False;True
3280.0;4.2;3.0;True;False;False;False;False;False;False;True;False;False;False;False
3280.0;3.05;4.0;True;False;False;False;False;False;False;True;False;False;False;False
5900.0;7.1;1.0;False;False;False;True;False;False;False;False;False;False;False;True
6100.0;7.2;2.0;False;False;False;True;False;False;False;False;False;False;True;False
6200.0;7.3;3.0;False;False;False;True;False;False;False;False;False;False;False;True
6300.0;5.0;4.0;True;False;False;False;False;True;False;False;True;False;False;False
6500.0;5.1;5.0;True;False;False;False;False;False;False;False;True;False;False;False
6000.0;5.8;5.0;False;False;False;True;False;False;True;False;False;False;False;False
3280.0;3.15;5.0;True;False;False;False;False;False;True;False;False;False;False;False
